Data,Hora,Download,Upload,ID do Servidor,Nome do Servidor,IP,Ping
06 May 2023,20:57,259.59 Mb/s,65.60 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.757
06 May 2023,20:58,272.29 Mb/s,93.22 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.748
06 May 2023,20:59,253.49 Mb/s,70.69 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.852
06 May 2023,21:01,261.66 Mb/s,170.82 Mb/s,54890,"Bento Gonçalves",138.59.48.28,10.444
06 May 2023,21:02,269.53 Mb/s,66.48 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.764
06 May 2023,21:03,258.37 Mb/s,119.19 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.836
06 May 2023,21:04,272.58 Mb/s,79.05 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.712
06 May 2023,21:05,259.43 Mb/s,67.09 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.756
06 May 2023,21:06,273.62 Mb/s,119.03 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.761
06 May 2023,21:07,257.99 Mb/s,73.65 Mb/s,20022,"Caxias do Sul",138.59.48.28,9.038
06 May 2023,21:08,268.70 Mb/s,72.98 Mb/s,20022,"Caxias do Sul",138.59.48.28,9.444
06 May 2023,21:09,255.83 Mb/s,90.42 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.779
06 May 2023,21:10,271.99 Mb/s,95.13 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.870
06 May 2023,21:11,268.21 Mb/s,90.80 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.772
06 May 2023,21:12,274.38 Mb/s,70.53 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.760
06 May 2023,21:13,255.05 Mb/s,76.82 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.825
06 May 2023,21:14,271.76 Mb/s,91.16 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.779
06 May 2023,21:15,241.48 Mb/s,83.72 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.808
06 May 2023,21:16,271.69 Mb/s,85.95 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.749
06 May 2023,21:17,256.85 Mb/s,74.12 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.809
06 May 2023,21:18,269.93 Mb/s,101.91 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.858
06 May 2023,21:19,260.55 Mb/s,93.77 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.981
06 May 2023,21:20,269.19 Mb/s,116.95 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.758
06 May 2023,21:21,257.65 Mb/s,72.27 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.783
06 May 2023,21:22,274.41 Mb/s,99.69 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.816
06 May 2023,21:23,247.41 Mb/s,68.06 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.776
