Data,Hora,Download,Upload,ID do Servidor,Nome do Servidor,IP,Ping
06 May 2023,21:06,273.62 Mb/s,119.03 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.761
06 May 2023,21:07,257.99 Mb/s,73.65 Mb/s,20022,"Caxias do Sul",138.59.48.28,9.038
06 May 2023,21:08,268.70 Mb/s,72.98 Mb/s,20022,"Caxias do Sul",138.59.48.28,9.444
06 May 2023,21:09,255.83 Mb/s,90.42 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.779
06 May 2023,21:10,271.99 Mb/s,95.13 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.870
06 May 2023,21:11,268.21 Mb/s,90.80 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.772
06 May 2023,21:12,274.38 Mb/s,70.53 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.760
06 May 2023,21:13,255.05 Mb/s,76.82 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.825
06 May 2023,21:14,271.76 Mb/s,91.16 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.779
06 May 2023,21:15,241.48 Mb/s,83.72 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.808
06 May 2023,21:16,271.69 Mb/s,85.95 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.749
06 May 2023,21:17,256.85 Mb/s,74.12 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.809
06 May 2023,21:18,269.93 Mb/s,101.91 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.858
06 May 2023,21:19,260.55 Mb/s,93.77 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.981
06 May 2023,21:20,269.19 Mb/s,116.95 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.758
06 May 2023,21:21,257.65 Mb/s,72.27 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.783
06 May 2023,21:22,274.41 Mb/s,99.69 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.816
06 May 2023,21:23,247.41 Mb/s,68.06 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.776
06 May 2023,21:24,271.07 Mb/s,100.16 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.949
06 May 2023,21:25,238.78 Mb/s,102.26 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.763
06 May 2023,21:26,271.85 Mb/s,72.57 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.795
06 May 2023,21:27,251.60 Mb/s,64.30 Mb/s,20022,"Caxias do Sul",138.59.48.28,9.111
06 May 2023,21:28,269.92 Mb/s,119.82 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.865
06 May 2023,21:29,273.01 Mb/s,90.02 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.799
06 May 2023,21:31,270.47 Mb/s,66.79 Mb/s,20022,"Caxias do Sul",138.59.48.28,9.301
06 May 2023,21:33,270.21 Mb/s,89.63 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.816
06 May 2023,21:34,255.53 Mb/s,118.10 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.814
06 May 2023,21:35,272.66 Mb/s,63.11 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.856
06 May 2023,21:36,248.14 Mb/s,148.65 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.768
06 May 2023,21:37,271.37 Mb/s,61.98 Mb/s,20022,"Caxias do Sul",138.59.48.28,9.178
06 May 2023,21:38,264.85 Mb/s,101.01 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.876
06 May 2023,21:39,274.17 Mb/s,102.99 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.866
06 May 2023,21:41,270.65 Mb/s,111.57 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.854
06 May 2023,21:42,264.38 Mb/s,76.03 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.779
06 May 2023,21:43,272.36 Mb/s,62.04 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.978
06 May 2023,21:44,271.01 Mb/s,63.44 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.808
06 May 2023,21:45,269.55 Mb/s,114.21 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.831
06 May 2023,21:46,261.56 Mb/s,98.83 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.771
06 May 2023,21:47,272.97 Mb/s,80.00 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.746
06 May 2023,21:48,256.03 Mb/s,71.37 Mb/s,20022,"Caxias do Sul",138.59.48.28,8.912
